[DEBUG] | 2025-02-17 14:54:32,992 | __main__ |   4477 | MainThread : Password inserted
[DEBUG] | 2025-02-17 14:54:33,232 | lib.user_auth |   4717 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 14:54:33,232 | lib.qt_auth |   4717 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 14:54:34,632 | __main__ |   6117 | MainThread : Admin username inserted
[DEBUG] | 2025-02-17 14:54:43,542 | __main__ |  15026 | MainThread : Admin Password inserted
[DEBUG] | 2025-02-17 14:54:43,779 | lib.user_auth |  15263 | MainThread : Login successful
[DEBUG] | 2025-02-17 14:54:43,780 | lib.qt_auth |  15264 | MainThread : Admin Login successful
[DEBUG] | 2025-02-17 15:02:40,826 | __main__ |   2313 | MainThread : Admin login
[DEBUG] | 2025-02-17 15:02:40,842 | __main__ |   2328 | MainThread : Password inserted
[DEBUG] | 2025-02-17 15:02:41,061 | lib.user_auth |   2548 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 15:02:41,061 | lib.qt_auth |   2548 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 15:02:42,386 | __main__ |   3873 | MainThread : Admin username inserted
[DEBUG] | 2025-02-17 15:02:47,362 | __main__ |   8849 | MainThread : Admin Password inserted
[DEBUG] | 2025-02-17 15:02:47,609 | lib.user_auth |   9096 | MainThread : Login successful
[DEBUG] | 2025-02-17 15:02:47,609 | lib.qt_auth |   9096 | MainThread : Admin Login successful
[DEBUG] | 2025-02-17 15:05:27,917 | __main__ |   2051 | MainThread : Username inserted
[DEBUG] | 2025-02-17 15:05:30,352 | __main__ |   4486 | MainThread : Password inserted
[DEBUG] | 2025-02-17 15:05:30,588 | lib.user_auth |   4722 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 15:05:30,588 | lib.qt_auth |   4722 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 15:05:38,488 | __main__ |  12622 | MainThread : Password inserted
[DEBUG] | 2025-02-17 15:05:38,722 | lib.user_auth |  12856 | MainThread : Login successful
[DEBUG] | 2025-02-17 15:05:38,722 | lib.qt_auth |  12856 | MainThread : User Log in successful
[DEBUG] | 2025-02-17 15:16:16,513 | __main__ |   5515 | MainThread : Username inserted
[DEBUG] | 2025-02-17 15:16:19,267 | __main__ |   8269 | MainThread : Password inserted
[DEBUG] | 2025-02-17 15:16:19,493 | lib.user_auth |   8495 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 15:16:19,493 | lib.qt_auth |   8495 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 15:16:21,335 | __main__ |  10337 | MainThread : Password inserted
[DEBUG] | 2025-02-17 15:16:21,555 | lib.user_auth |  10557 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 15:16:21,555 | lib.qt_auth |  10557 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 15:16:21,571 | __main__ |  10573 | MainThread : Password inserted
[DEBUG] | 2025-02-17 15:16:21,791 | lib.user_auth |  10793 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 15:16:21,791 | lib.qt_auth |  10793 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 15:17:06,989 | __main__ |   1417 | MainThread : Username inserted
[DEBUG] | 2025-02-17 15:17:11,389 | __main__ |   5817 | MainThread : Password inserted
[DEBUG] | 2025-02-17 15:17:11,630 | lib.user_auth |   6057 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 15:17:11,630 | lib.qt_auth |   6057 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 15:17:23,449 | __main__ |   1917 | MainThread : Username inserted
[DEBUG] | 2025-02-17 15:17:26,888 | __main__ |   5356 | MainThread : Password inserted
[DEBUG] | 2025-02-17 15:17:27,123 | lib.user_auth |   5591 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 15:20:45,585 | __main__ |   1606 | MainThread : Username inserted
[DEBUG] | 2025-02-17 15:20:52,364 | __main__ |   8386 | MainThread : Password inserted
[DEBUG] | 2025-02-17 15:20:52,588 | lib.user_auth |   8610 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 15:24:13,409 | __main__ |   1629 | MainThread : Username inserted
[DEBUG] | 2025-02-17 15:25:18,649 | __main__ |   1389 | MainThread : Username inserted
[DEBUG] | 2025-02-17 15:25:28,131 | __main__ |  10870 | MainThread : Password inserted
[DEBUG] | 2025-02-17 15:25:28,368 | lib.user_auth |  11108 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 15:25:28,368 | __main__ |  11108 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 15:26:09,193 | __main__ |   1360 | MainThread : Admin login
[DEBUG] | 2025-02-17 15:26:09,193 | __main__ |   1360 | MainThread : Password inserted
[DEBUG] | 2025-02-17 15:26:09,428 | lib.user_auth |   1596 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 15:26:09,428 | __main__ |   1596 | MainThread : User Log in unsuccessful
[DEBUG] | 2025-02-17 15:26:11,250 | __main__ |   3418 | MainThread : Admin username inserted
[DEBUG] | 2025-02-17 15:26:13,203 | __main__ |   5370 | MainThread : Admin Password inserted
[DEBUG] | 2025-02-17 15:26:13,454 | lib.user_auth |   5622 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 15:26:13,454 | __main__ |   5622 | MainThread : Admin Log in unsuccessful
[DEBUG] | 2025-02-17 15:37:46,730 | __main__ | 698897 | MainThread : Admin Password inserted
[DEBUG] | 2025-02-17 15:37:46,963 | lib.user_auth | 699130 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 15:37:46,963 | __main__ | 699130 | MainThread : Admin Log in unsuccessful
[DEBUG] | 2025-02-17 15:37:55,500 | __main__ | 707667 | MainThread : Admin Password inserted
[DEBUG] | 2025-02-17 15:37:55,739 | lib.user_auth | 707907 | MainThread : Login unsuccessful
[DEBUG] | 2025-02-17 15:37:55,739 | __main__ | 707907 | MainThread : Admin Log in unsuccessful
[DEBUG] | 2025-02-17 15:38:21,109 | __main__ |   2086 | MainThread : Username inserted
[DEBUG] | 2025-02-17 15:38:22,740 | __main__ |   3717 | MainThread : Admin login
